Date,Open,High,Low,Close,voLume
10/7/2022,12.48999325,12.6547952,12.00757308,12.06150818,672478000
10/10/2022,12.02255457,12.10945006,11.3943097,11.65599537,698699000
10/11/2022,11.54712625,11.83178409,11.26945999,11.57209682,667482000
10/12/2022,11.56510505,11.72091702,11.33138565,11.48619938,492590000
10/13/2022,10.95783379,12.06350566,10.8000234,11.94564724,850103000
10/14/2022,12.04253262,12.09646772,11.19055647,11.21352863,713432000
10/17/2022,11.50417672,11.93366098,11.50317847,11.87373257,580774000
10/18/2022,12.32918703,12.4770092,11.6040584,11.95263958,659362000
10/19/2022,11.8647446,12.33518006,11.81979852,12.03653812,523131000
10/20/2022,12.09846299,12.75367586,12.09047222,12.17936611,652398000
10/21/2022,12.08348369,12.48300432,11.87273737,12.45104218,609494000
10/24/2022,12.49299003,12.69474728,12.04952261,12.58388042,517457000
10/25/2022,12.67876763,13.28404038,12.64880294,13.24508667,505482000
10/26/2022,12.85355756,13.37193386,12.69275051,12.88052464,532953000
10/27/2022,13.61364436,13.82139494,13.10625357,13.16018867,583113000
10/28/2022,13.08827457,13.83337962,13.04532595,13.81739807,521040000
10/31/2022,13.76146643,13.82139485,13.28104368,13.48080349,486341000
11/1/2022,13.79442865,13.90829219,13.50277919,13.52675056,432817000
11/2/2022,13.83338273,14.19295045,13.19514948,13.20313931,672628000
11/3/2022,13.02734818,13.76446247,12.94045269,13.40489388,500065000
11/4/2022,13.96921721,14.21192565,13.68056349,14.13901329,612576000
11/7/2022,14.21092782,14.39470705,13.93725737,14.28384018,410061000
11/8/2022,14.78323802,14.87313017,14.19894,14.58447742,595292000
11/9/2022,14.14500552,14.19394746,13.74248923,13.75946903,454414000
11/10/2022,14.78224027,15.75407225,14.52954361,15.73110008,700819000
11/11/2022,15.78803002,16.36933134,15.46342025,16.30740547,655487000
11/14/2022,16.19853867,16.52015277,15.9028934,16.27544594,527852000
11/15/2022,16.70193629,16.9776042,16.36234408,16.64600372,545876000
11/16/2022,16.14260666,16.34236552,15.85395294,15.89090824,649547000
11/17/2022,15.69614142,16.24648079,15.51635712,15.65818691,710894000
11/18/2022,15.94683943,15.98279743,15.10185496,15.39050865,492072000
11/21/2022,15.12882415,15.45842807,15.06190416,15.29862022,404739000
11/22/2022,15.30960872,16.03873333,15.10385557,16.01875687,472866000
11/23/2022,16.0786817,16.50716775,16.02874247,16.49917603,427241000
11/25/2022,16.29841957,16.4672155,16.15259486,16.25047684,167934000
11/28/2022,16.00676881,16.33737291,15.7061313,15.80800819,303741000
11/29/2022,15.8080096,15.91288411,15.50137874,15.62023544,298384000
11/30/2022,15.68217568,16.91401202,15.58227069,16.90701866,565298000
12/1/2022,16.98294515,17.24869275,16.61928862,17.11881638,470977000
12/2/2022,16.64326564,16.91700701,16.42946707,16.86005974,371389000
12/5/2022,16.66324966,16.97895122,16.45644441,16.59431458,352255000
12/6/2022,16.5143883,16.55734696,15.80405939,15.97190094,352694000
12/7/2022,15.75710639,16.17071595,15.65220505,16.10477829,372388000
12/8/2022,16.25763253,17.16277704,15.94392799,17.15278625,515456000
